[16/5/2022 9:22:5] !online
[16/5/2022 9:34:35] /t
[16/5/2022 9:44:36] /n Mystical Escriture 1
[16/5/2022 9:44:39] /n Mystical Escriture
[16/5/2022 9:45:13] /t
[16/5/2022 9:46:4] /summon isis
[16/5/2022 9:48:43] /npc isis
[16/5/2022 9:48:54] /npc Isis
[16/5/2022 9:48:59] /npc Captain Vip
[16/5/2022 10:15:5] /up
[16/5/2022 10:16:7] /down
[16/5/2022 10:18:21] /up
[16/5/2022 10:18:23] /down
[16/5/2022 10:18:24] /down
[16/5/2022 10:18:28] /down
[16/5/2022 10:27:32] /up
[16/5/2022 10:27:34] /up
[16/5/2022 10:27:45] /down
[16/5/2022 10:27:48] /down
[16/5/2022 10:28:1] /t
[16/5/2022 11:23:15] /n terra legs
[16/5/2022 11:23:20] /n terra legs
[16/5/2022 11:25:36] /i terra legs
[16/5/2022 11:25:40] /i terra mantle
[16/5/2022 11:25:41] /i terra mantle
[16/5/2022 11:25:42] /i terra mantle
[16/5/2022 11:25:42] /i terra mantle
[16/5/2022 11:25:43] /i terra mantle
[16/5/2022 11:30:50] /i terra mantle
[16/5/2022 11:30:51] /i terra mantle
[16/5/2022 11:30:52] /i terra mantle
[16/5/2022 11:30:53] /i terra mantle
[16/5/2022 11:30:59] /i Medusa Shield
[16/5/2022 11:31:0] /i Medusa Shield
[16/5/2022 11:31:5] /i Terra Mantle
[16/5/2022 11:31:6] /i Terra Mantle
[16/5/2022 11:31:10] /i Terra Legs
[16/5/2022 11:31:11] /i Terra Legs
[16/5/2022 11:37:48] /t
[16/5/2022 11:52:26] /openserver
[16/5/2022 12:24:46] /t
[17/5/2022 8:31:35] /i magic plate armor
[17/5/2022 8:31:35] /i magic plate armor
[17/5/2022 8:31:35] /i magic plate armor
[17/5/2022 8:31:36] /i magic plate armor
[17/5/2022 8:31:36] /i magic plate armor
[17/5/2022 8:31:37] /i magic plate armor
[17/5/2022 8:31:37] /i magic plate armor
[17/5/2022 8:31:38] /i magic plate armor
[17/5/2022 8:31:38] /i magic plate armor
[17/5/2022 8:31:49] /i magic plate armor
[17/5/2022 8:31:51] /i magic plate armor
[17/5/2022 8:31:53] /i magic plate armor
[17/5/2022 8:31:54] /i magic plate armor
[17/5/2022 8:32:7] /i magic plate armor
[17/5/2022 8:36:23] !emotespells on
[17/5/2022 8:36:33] !emotespells on
[17/5/2022 8:36:42] !emotespells on
[17/5/2022 8:39:36] !emotespells off
[17/5/2022 8:39:40] !emotespells
[17/5/2022 8:39:41] !emotespells
[17/5/2022 8:39:42] !emotespells
[17/5/2022 8:40:34] !emotespells on
[17/5/2022 9:9:21] /up
[17/5/2022 10:35:30] !emotespells on
[17/5/2022 10:37:11] !emotespells on
[17/5/2022 10:45:31] /openserver
[17/5/2022 10:45:59] /t
[17/5/2022 10:46:16] /i magic plate armor
[17/5/2022 10:46:44] /ads Knight test, level, 85
[17/5/2022 10:46:58] /ads Knight test, sword, 70
[17/5/2022 10:47:10] /ads Knight test, shielding, 60
[17/5/2022 10:47:45] /i blade sword
[17/5/2022 10:48:0] /i mercenary sword
[17/5/2022 10:48:25] /i crown helmet
[17/5/2022 11:30:6] /t thais
[17/5/2022 11:45:0] !emotespells on
[17/5/2022 12:12:19] /i isis
[17/5/2022 12:12:23] /m isi
[17/5/2022 12:12:28] /npc isis
[17/5/2022 12:14:18] /s isis
[17/5/2022 12:14:20] /s isis
[17/5/2022 12:14:43] /s Isis
[17/5/2022 12:14:47] /s Iris
[17/5/2022 12:14:51] /s IOsiris
[17/5/2022 12:14:58] /s Iris
[17/5/2022 12:15:2] /s Iris
[17/5/2022 12:15:28] /s Xodet
[17/5/2022 12:15:30] /s Xodet
[17/5/2022 12:15:43] /s Xodet
[17/5/2022 12:15:52] /s Xodet
[17/5/2022 12:16:34] /s xodet
[17/5/2022 12:17:38] /c xodet
[17/5/2022 12:17:54] /c Isis
[17/5/2022 12:52:8] /down
[17/5/2022 12:54:35] /up
[17/5/2022 12:54:36] /up
[17/5/2022 12:59:0] /up
[17/5/2022 13:1:52] /t 
[17/5/2022 13:15:43] /t
[17/5/2022 13:18:2] !emotespells on
[17/5/2022 20:40:31] /ads Juniorscripts, level 1000
[17/5/2022 20:40:36] /ads Juniorscripts, level, 1000
[17/5/2022 20:41:40] /ads Juniorscripts, level, 1000
[17/5/2022 21:25:4] /up
[17/5/2022 21:25:5] /up
[17/5/2022 21:25:7] /up
[17/5/2022 21:25:9] /up
[17/5/2022 23:26:9] /i Dragon Scale Mail
[17/5/2022 23:26:17] /i Royal Helmet
[17/5/2022 23:26:24] /i Tower Shield
[17/5/2022 23:26:32] /i Dragon Slayer
[17/5/2022 23:42:22] /t
[17/5/2022 23:44:20] /t
[17/5/2022 23:46:55] /up
[17/5/2022 23:46:57] /up
[17/5/2022 23:49:16] /up
[17/5/2022 23:49:16] /up
[17/5/2022 23:49:17] /up
[17/5/2022 23:54:4] /t
[18/5/2022 8:14:50] /ads juniorscripts, level, 1000
[18/5/2022 8:15:12] /i boots of haste
[18/5/2022 8:55:23] !emotespells on
[18/5/2022 9:3:52] /openserver
[18/5/2022 9:6:49] /i underwold rod
[18/5/2022 9:6:58] /i underworld rod
[18/5/2022 9:7:29] /ads Testando Scripts, level, 71
[18/5/2022 9:7:43] /ads Testando Scripts, magic, 50
[18/5/2022 10:25:38] /i 15 dias premium account
[18/5/2022 10:26:8] /i premium account
[18/5/2022 10:26:20] /i premium account
[18/5/2022 10:26:38] /i premium account
[18/5/2022 10:26:42] /i premium account
[18/5/2022 10:26:46] /i premium account
[18/5/2022 10:26:47] /i premium account
[18/5/2022 10:26:48] /i premium account
[18/5/2022 10:27:0] /i premium account
[18/5/2022 10:27:1] /i premium account
[18/5/2022 10:27:1] /i premium account
[18/5/2022 10:27:3] /i premium account
[18/5/2022 10:27:4] /i premium account
[18/5/2022 10:27:5] /i premium account
[18/5/2022 10:27:5] /i premium account
[18/5/2022 10:27:17] /i premium account
[18/5/2022 10:30:8] /i premium account
[18/5/2022 10:30:14] /i premium
[18/5/2022 10:30:20] /i dias vip
[18/5/2022 10:30:41] /i premium account 180 dias
[18/5/2022 10:30:49] /i premium account
[18/5/2022 10:30:52] /i premium account days
[18/5/2022 10:30:58] /i premium account 15 days
[18/5/2022 10:32:9] /i premium
[18/5/2022 10:32:15] /i vip days
[18/5/2022 10:32:18] /i vip dias
[18/5/2022 10:32:21] /i dias vip
[18/5/2022 10:34:12] /i golden helemt
[18/5/2022 10:34:15] /i golden helmet
[18/5/2022 10:34:17] /i golden helmet
[18/5/2022 10:34:28] /i plate armor
[18/5/2022 10:34:34] /i golden helmet
[18/5/2022 10:34:36] /i golden helmet
[18/5/2022 10:34:41] /i boots
[18/5/2022 10:34:48] /i steel boots
[18/5/2022 10:35:0] /i premium account
[18/5/2022 10:35:7] /i ticket
[18/5/2022 18:22:46] /t
[18/5/2022 18:41:53] /down
[18/5/2022 18:41:55] /down
[18/5/2022 18:48:42] /up
[18/5/2022 18:48:43] /up
[18/5/2022 18:52:21] /t
[18/5/2022 18:56:9] /t
[18/5/2022 18:59:6] /t
[18/5/2022 18:59:44] /i western nightstalker
[18/5/2022 18:59:51] /m western nightstalker
[18/5/2022 18:59:54] /m western nightstalker
[18/5/2022 19:0:8] /m Western Undead
[18/5/2022 19:0:15] /m Westen Undead
[18/5/2022 19:0:22] /m Dracola
[18/5/2022 19:13:6] /t
[18/5/2022 19:40:24] /up
[18/5/2022 19:40:24] /up
[18/5/2022 19:40:26] /up
[18/5/2022 19:44:0] /t
[18/5/2022 19:45:19] /down
[18/5/2022 19:45:20] /down
[18/5/2022 19:45:23] /up
[18/5/2022 21:9:38] /t
[18/5/2022 23:20:55] !emotespells on
[19/5/2022 9:13:12] /t
[19/5/2022 12:11:5] /t
[19/5/2022 12:12:47] /openserver
[19/5/2022 12:19:26] /t
[19/5/2022 12:21:52] /a
[19/5/2022 12:21:54] /a
[19/5/2022 12:23:10] /i steel boots
[19/5/2022 12:23:11] /i steel boots
[19/5/2022 12:23:12] /i steel boots
[19/5/2022 12:23:12] /i steel boots
[19/5/2022 12:23:13] /i steel boots
[19/5/2022 12:23:20] /i war axe
[19/5/2022 12:23:21] /i war axe
[19/5/2022 12:23:22] /i war axe
[19/5/2022 12:24:3] /i giant sword
[19/5/2022 12:25:27] /ads Mentirinha Test, Level, 150
[19/5/2022 12:25:46] /ads Mentirinha Test, Distance 100
[19/5/2022 12:25:52] /ads Mentirinha Test, Distance, 100
[19/5/2022 12:25:56] /ads Mentirinha Test, Distance,100
[19/5/2022 12:27:12] /i royal crosbow
[19/5/2022 12:27:16] /i royal crosbown
[19/5/2022 12:27:21] /i royal crosbonw
[19/5/2022 12:27:25] /i royal crosbow
[19/5/2022 12:27:29] /i royal crossbow
[19/5/2022 12:27:37] /i Infernal Bolt
[19/5/2022 12:29:11] /t Zohan Paramaxshow
[19/5/2022 12:29:23] /t Mentirinha Test
[19/5/2022 12:30:48] /ads Zohan Paramaxshow, level, 250
[19/5/2022 12:31:6] /ads Zohan Paramaxshow, Magic, 80
[19/5/2022 12:31:57] /t
[19/5/2022 12:34:50] /ads Zohan Teste, level, 250
[19/5/2022 12:50:57] /ads Mentirinha Test, distance,-160
