[28/5/2022 19:25:20] !emotespells on
[28/5/2022 19:26:13] 
[28/5/2022 19:26:15] 
[28/5/2022 19:26:50] 
[28/5/2022 19:26:52] 
[28/5/2022 19:26:54] 
[28/5/2022 19:26:56] 
[28/5/2022 19:27:30] 
[28/5/2022 19:27:32] 
[28/5/2022 19:27:58] 
[28/5/2022 19:28:0] 
[28/5/2022 19:28:4] 
[28/5/2022 19:28:6] 
[28/5/2022 19:28:8] 
[28/5/2022 19:28:10] 
[28/5/2022 19:28:26] 
[28/5/2022 19:28:32] 
[28/5/2022 19:29:47] 
[28/5/2022 19:30:46] 
[28/5/2022 19:32:46] !emotespells on
[28/5/2022 19:33:28] 
[28/5/2022 19:33:30] 
[28/5/2022 19:34:55] 
[28/5/2022 19:34:57] 
[28/5/2022 19:34:59] 
[28/5/2022 19:35:2] 
[28/5/2022 19:35:4] 
[28/5/2022 19:36:39] 
[28/5/2022 19:37:5] 
[28/5/2022 19:37:7] 
[28/5/2022 19:37:9] 
[28/5/2022 19:37:11] 
[28/5/2022 19:37:30] 
[28/5/2022 19:39:19] 
[28/5/2022 19:39:21] 
[28/5/2022 19:39:23] 
[28/5/2022 19:39:33] 
[28/5/2022 19:39:35] 
[28/5/2022 19:39:37] 
[28/5/2022 19:39:39] 
[28/5/2022 19:39:41] 
[28/5/2022 19:39:43] 
[28/5/2022 19:39:59] 
[28/5/2022 19:40:1] 
[28/5/2022 19:41:40] !emotespells on
[28/5/2022 19:43:47] 
[28/5/2022 19:44:24] 
[28/5/2022 19:44:26] 
[28/5/2022 19:44:28] 
[28/5/2022 19:44:30] 
[28/5/2022 19:44:32] 
[28/5/2022 19:46:4] 
[28/5/2022 19:46:6] 
[28/5/2022 19:46:23] 
[28/5/2022 19:46:26] 
[28/5/2022 19:46:28] 
[28/5/2022 19:46:30] 
[28/5/2022 19:46:32] 
[28/5/2022 19:46:46] 
[28/5/2022 19:46:48] 
[28/5/2022 19:46:50] 
[28/5/2022 19:46:52] 
[28/5/2022 19:46:54] 
[28/5/2022 19:46:56] 
[28/5/2022 19:46:58] 
[28/5/2022 19:47:0] 
[28/5/2022 19:47:2] 
[28/5/2022 19:48:13] 
[28/5/2022 19:49:53] 
[28/5/2022 19:49:55] 
[28/5/2022 19:49:57] 
[28/5/2022 19:50:9] 
[28/5/2022 19:50:11] 
[28/5/2022 19:50:13] 
[28/5/2022 19:50:15] 
[28/5/2022 19:51:49] !emotespells on
[28/5/2022 19:52:27] 
[28/5/2022 19:52:29] 
[28/5/2022 19:52:31] 
[28/5/2022 19:52:33] 
[28/5/2022 19:53:1] 
[28/5/2022 19:53:8] 
[28/5/2022 19:53:10] 
[28/5/2022 19:53:12] 
[28/5/2022 19:53:14] 
[28/5/2022 19:53:16] 
[28/5/2022 19:53:36] 
[28/5/2022 19:53:38] 
[28/5/2022 19:54:6] 
[28/5/2022 19:54:8] 
[28/5/2022 19:54:10] 
[28/5/2022 19:54:12] 
[28/5/2022 19:55:8] 
[28/5/2022 19:55:10] 
[28/5/2022 19:55:38] 
[28/5/2022 19:55:40] 
[28/5/2022 19:57:47] 
[28/5/2022 19:58:48] !emotespells on
[28/5/2022 19:59:24] 
[28/5/2022 19:59:26] 
[28/5/2022 19:59:28] 
[28/5/2022 19:59:31] 
[28/5/2022 20:0:13] 
[28/5/2022 20:0:15] 
[28/5/2022 20:0:36] 
[28/5/2022 20:0:38] 
[28/5/2022 20:0:40] 
[28/5/2022 20:1:4] 
[28/5/2022 20:1:6] 
[28/5/2022 20:1:8] 
[28/5/2022 20:1:10] 
[28/5/2022 20:1:12] 
[28/5/2022 20:1:14] 
[28/5/2022 20:1:16] 
[28/5/2022 20:1:18] 
[28/5/2022 20:1:44] 
[28/5/2022 20:1:46] 
[28/5/2022 20:1:48] 
[28/5/2022 20:1:50] 
[28/5/2022 20:1:52] 
[28/5/2022 20:2:12] 
[28/5/2022 20:2:15] 
[28/5/2022 20:2:17] 
[28/5/2022 20:2:19] 
[28/5/2022 20:2:21] 
[28/5/2022 20:2:23] 
[28/5/2022 20:2:26] 
[28/5/2022 20:2:28] 
[28/5/2022 20:3:29] 
[28/5/2022 20:3:31] 
[28/5/2022 20:3:33] 
[28/5/2022 20:3:35] 
[28/5/2022 20:6:59] !emotespells on
[28/5/2022 20:7:45] 
[28/5/2022 20:7:47] 
[28/5/2022 20:8:16] 
[28/5/2022 20:8:18] 
[28/5/2022 20:8:20] 
[28/5/2022 20:8:26] 
[28/5/2022 20:8:28] 
[28/5/2022 20:8:45] 
[28/5/2022 20:8:47] 
[28/5/2022 20:10:39] 
[28/5/2022 20:10:41] 
[28/5/2022 20:10:43] 
[28/5/2022 20:10:45] 
[28/5/2022 20:10:47] 
[28/5/2022 20:13:42] !emotespells on
[28/5/2022 20:14:21] 
[28/5/2022 20:14:23] 
[28/5/2022 20:14:25] 
[28/5/2022 20:14:43] 
[28/5/2022 20:14:45] 
[28/5/2022 20:15:22] 
[28/5/2022 20:15:24] 
[28/5/2022 20:15:26] 
[28/5/2022 20:15:53] 
[28/5/2022 20:15:55] 
[28/5/2022 20:15:58] 
[28/5/2022 20:16:0] 
[28/5/2022 20:16:2] 
[28/5/2022 20:16:5] 
[28/5/2022 20:16:7] 
[28/5/2022 20:16:36] 
[28/5/2022 20:16:38] 
[28/5/2022 20:16:40] 
[28/5/2022 20:16:42] 
[28/5/2022 20:16:44] 
[28/5/2022 20:17:3] 
[28/5/2022 20:17:5] 
[28/5/2022 20:17:7] 
[28/5/2022 20:17:9] 
[28/5/2022 20:17:11] 
[28/5/2022 20:17:17] 
[28/5/2022 20:18:22] 
[28/5/2022 20:18:24] 
[28/5/2022 20:20:33] 
[28/5/2022 20:20:35] 
[28/5/2022 20:20:49] 
[28/5/2022 20:20:51] 
[28/5/2022 20:20:53] 
[28/5/2022 20:21:13] 
[28/5/2022 20:21:15] 
[28/5/2022 20:21:19] 
[28/5/2022 20:21:22] 
[28/5/2022 20:21:25] 
[28/5/2022 20:21:27] 
[28/5/2022 20:22:4] 
[28/5/2022 20:22:6] 
[28/5/2022 20:22:8] 
[28/5/2022 20:22:10] 
[28/5/2022 20:22:12] 
[28/5/2022 20:22:15] 
[28/5/2022 20:22:50] !emotespells on
[28/5/2022 20:24:25] 
[28/5/2022 20:24:27] 
[28/5/2022 20:24:29] 
[28/5/2022 20:25:49] 
[28/5/2022 20:25:51] 
[28/5/2022 20:26:17] 
[28/5/2022 20:26:19] 
[28/5/2022 20:26:21] 
[28/5/2022 20:26:40] 
[28/5/2022 20:28:17] 
[28/5/2022 20:28:19] 
[28/5/2022 20:28:21] 
[28/5/2022 20:28:33] 
[28/5/2022 20:28:35] 
[28/5/2022 20:28:37] 
[28/5/2022 20:28:39] 
[28/5/2022 20:28:41] 
[28/5/2022 20:28:54] 
[28/5/2022 20:28:56] 
[28/5/2022 20:28:58] 
[28/5/2022 20:30:23] !emotespells on
[28/5/2022 20:31:3] 
[28/5/2022 20:31:6] 
[28/5/2022 20:31:42] 
[28/5/2022 20:31:44] 
[28/5/2022 20:31:46] 
[28/5/2022 20:31:48] 
[28/5/2022 20:32:36] 
[28/5/2022 20:32:38] 
[28/5/2022 20:32:42] 
[28/5/2022 20:32:44] 
[28/5/2022 20:32:46] 
[28/5/2022 20:32:48] 
[28/5/2022 20:32:50] 
[28/5/2022 20:32:52] 
[28/5/2022 20:32:54] 
[28/5/2022 20:32:56] 
[28/5/2022 20:32:58] 
[28/5/2022 20:33:24] 
[28/5/2022 20:33:26] 
[28/5/2022 20:33:28] 
[28/5/2022 20:33:30] 
[28/5/2022 20:33:32] 
[28/5/2022 20:33:34] 
[28/5/2022 20:33:51] 
[28/5/2022 20:33:53] 
[28/5/2022 20:36:48] 
[28/5/2022 20:36:50] 
[28/5/2022 20:36:52] 
[28/5/2022 20:37:4] 
[28/5/2022 20:37:6] 
[28/5/2022 20:37:8] 
[28/5/2022 20:37:10] 
[28/5/2022 20:37:12] 
[28/5/2022 20:37:14] 
[28/5/2022 20:37:51] 
[28/5/2022 20:37:53] 
[28/5/2022 20:38:9] 
[28/5/2022 20:38:11] 
[28/5/2022 20:38:14] 
[28/5/2022 20:38:18] 
[28/5/2022 20:39:23] !emotespells on
[28/5/2022 20:41:38] 
[28/5/2022 20:41:40] 
[28/5/2022 20:43:31] 
[28/5/2022 20:43:56] 
[28/5/2022 20:43:59] 
[28/5/2022 20:44:18] 
[28/5/2022 20:46:13] 
[28/5/2022 20:46:15] 
[28/5/2022 20:46:17] 
[28/5/2022 20:46:19] 
[28/5/2022 20:46:21] 
[28/5/2022 20:46:35] 
[28/5/2022 20:46:37] 
[28/5/2022 20:46:39] 
[28/5/2022 20:46:43] 
[28/5/2022 20:46:45] 
[28/5/2022 20:47:28] 
[28/5/2022 20:47:30] 
[28/5/2022 20:47:32] 
[28/5/2022 20:47:35] 
[28/5/2022 20:47:37] 
[28/5/2022 20:47:39] 
[28/5/2022 20:48:14] !emotespells on
[28/5/2022 20:49:23] 
[28/5/2022 20:49:25] 
[28/5/2022 20:49:27] 
[28/5/2022 20:49:29] 
[28/5/2022 20:49:31] 
[28/5/2022 20:49:33] 
[28/5/2022 20:50:33] 
[28/5/2022 20:50:35] 
[28/5/2022 20:51:3] 
[28/5/2022 20:51:5] 
[28/5/2022 20:51:8] 
[28/5/2022 20:51:10] 
[28/5/2022 20:51:12] 
[28/5/2022 20:51:27] 
[28/5/2022 20:51:34] 
[28/5/2022 20:51:36] 
[28/5/2022 20:51:38] 
[28/5/2022 20:51:40] 
[28/5/2022 20:51:42] 
[28/5/2022 20:51:44] 
[28/5/2022 20:51:46] 
[28/5/2022 20:51:48] 
[28/5/2022 20:52:51] 
[28/5/2022 20:53:52] 
[28/5/2022 20:56:20] !emotespells on
[28/5/2022 20:57:11] 
[28/5/2022 20:57:13] 
[28/5/2022 20:57:58] 
[28/5/2022 20:58:0] 
[28/5/2022 20:58:27] 
[28/5/2022 20:58:29] 
[28/5/2022 20:58:32] 
[28/5/2022 20:58:34] 
[28/5/2022 20:58:36] 
[28/5/2022 20:58:38] 
[28/5/2022 20:58:40] 
[28/5/2022 20:59:36] 
[28/5/2022 20:59:38] 
[28/5/2022 21:0:2] 
[28/5/2022 21:0:4] 
[28/5/2022 21:0:6] 
[28/5/2022 21:1:59] 
[28/5/2022 21:2:1] 
[28/5/2022 21:2:12] 
[28/5/2022 21:2:14] 
[28/5/2022 21:2:16] 
[28/5/2022 21:2:18] 
[28/5/2022 21:2:20] 
[28/5/2022 21:2:37] 
[28/5/2022 21:2:43] 
[28/5/2022 21:3:5] 
[28/5/2022 21:3:34] !emotespells on
[28/5/2022 21:4:27] 
[28/5/2022 21:4:46] 
[28/5/2022 21:4:49] 
[28/5/2022 21:4:51] 
[28/5/2022 21:5:10] 
